#1:tcount #2:t #3:m #4:r #5:vr #6:vt #7:r_peri #8:r_apo #9:Rtidal #10:phi_rtidal #11:phi_zero #12:E #13:J #14:id #15:binflag #16:m0[MSUN] #17:m1[MSUN] #18:id0 #19:id1 #20:a #21:e #22:startype #23:bin_startype0 #24:bin_startype1 #25:rad0 #26:rad1 #27:tb #28:lum0 #29:lum1 #30:massc0 #31:massc1 #32:radc0 #33:radc1 #34:menv0 #35:menv1 #36:renv0 #37:renv1 #38:tms0 #39:tms1 #40:dmdt0 #41:dmdt1 #42:radrol0 #43:radrol1 #44:ospin0 #45:ospin1 #46:B0 #47:B1 #48:formation0 #49:formation1 #50:bacc0 #51:bacc1 #52:tacc0 $53:tacc1 #54:mass0_0 #55:mass0_1 #56:epoch0 #57:epoch1 #58:bhspin #59:bhspin1 #60:bhspin2 #61:ospin #62:B #63:formation
#15binflag=1:binary,23/24bin_starttype0/1:na if not binary, 14 if black holes, 16-17 mass
#rv=2 case
79295 0.017728826 136.03738 0.0046906075 0.82399801 1.337978 0.0046906075 0.0046906075 213.45666 -0.0034000507 -1.1694821 0.092591266 0.0062759298 0 1 41.124576 40.900378 10536005 10867643 0.053037304 0.27517151 na 14 14 0.000174368 0.000173418 0.492594 1e-10 1e-10 41.1246 40.9004 0.000174368 0.000173418 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.694 45.4449 3.78842 3.72211 na 0 0 na na na
101177 0.019154409 93.031798 0.017808072 -0.31017419 1.6896654 0.017808072 0.017808072 213.09749 -0.003388618 -1.1409189 0.4555639 0.030089683 0 1 15.967717 40.126635 10350522 10564927 0.049068887 0.75047366 na 14 14 6.77031e-05 0.000170137 0.530078 1e-10 1e-10 15.9677 40.1266 6.77031e-05 0.000170137 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 17.7516 44.5851 8.42685 3.86076 na 0 0 na na na
110863 0.019939041 122.31079 0.01757723 1.3400696 1.5773532 0.01757723 0.01757723 212.9019 -0.0033824006 -1.0751429 1.1327117 0.027725499 0 1 32.345689 41.40269 767410 10784095 0.015410897 0.87363562 na 14 14 0.000137146 0.000175547 0.0813684 1e-10 1e-10 32.3457 41.4027 0.000137146 0.000175547 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 6.99753e+10 2e+08 0 0 0 0 0 0 0 0 35.5331 3.85933 3.80691 190.242 na 0 0 na na na
128980 0.021099101 136.57084 0.0051078713 0.046692106 1.7196102 0.0051078713 0.0051078713 212.63088 -0.0033737947 -1.1617238 0.35765922 0.0087835477 0 1 40.951348 41.395259 13305056 15694365 0.093951573 0.91529981 na 14 14 0.000173634 0.000175516 1.15911 1e-10 1e-10 40.9513 41.3953 0.000173634 0.000175516 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.5015 45.9947 3.73595 3.67417 na 0 0 na na na
163916 0.022681792 81.299119 0.016761451 -0.84615817 1.2642785 0.016761451 0.016761451 212.29256 -0.003363067 -1.1197026 0.15226629 0.021191143 0 1 15.708412 33.311616 44453 8345477 0.053534764 0.86200496 na 14 14 6.66037e-05 0.000141241 0.646186 1e-10 1e-10 15.7084 33.3116 6.66037e-05 0.000141241 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 1.42917e+11 6.79878e+10 0 0 0 0 0 0 0 0 17.3477 36.5827 4.97103 3.67256 na 0 0 na na na
172676 0.023079754 99.55707 0.02480006 0.51332882 1.6538956 0.02480006 0.02480006 212.21001 -0.0033604521 -1.1148788 0.52961332 0.041016711 0 1 18.381376 41.647447 10306611 13288601 0.046214651 0.66615224 na 14 14 7.7937e-05 0.000176585 0.46836 1e-10 1e-10 18.3814 41.6474 7.7937e-05 0.000176585 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 20.4238 46.2749 7.77696 3.75471 na 0 0 na na na
188862 0.023958324 127.83806 0.0021417702 -0.29515827 1.5850453 0.0021417702 0.0021417702 212.03432 -0.00335489 -1.2334892 0.095817774 0.0033948028 0 1 35.333483 41.747613 7589988 7669192 0.12548565 0.84627193 na 14 14 0.000149814 0.00017701 1.8493 1e-10 1e-10 35.3335 41.7476 0.000149814 0.00017701 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 39.2594 46.3862 3.95005 3.67744 na 0 0 na na na
203233 0.024720073 137.90846 0.0023501109 0.46798548 1.8254455 0.0023501109 0.0023501109 211.88767 -0.003350251 -1.1358817 0.65159568 0.0042899993 0 1 42.049113 41.104019 2908902 11055877 0.084229482 0.7314994 na 14 14 0.000178288 0.000174281 0.979145 1e-10 1e-10 42.0491 41.104 0.000178288 0.000174281 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.7212 45.6711 3.82141 3.76658 na 0 0 na na na
218180 0.025423498 135.85208 0.0098366688 2.6577238 0.70023361 0.0098366688 0.0098366688 211.75433 -0.0033460358 -1.1241491 2.7281843 0.0068879661 0 1 40.471102 41.442118 10501233 10950698 0.04727326 0.51390196 na 14 14 0.000171597 0.000175715 0.414798 1e-10 1e-10 40.4711 41.4421 0.000171597 0.000175715 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 44.9679 46.0468 3.7235 3.7712 na 0 0 na na na
230191 0.026487277 130.22867 0.001775594 0.76473263 1.5841445 0.001775594 0.001775594 211.56312 -0.0033399956 -1.3110466 0.28898839 0.0028127974 0 1 42.038274 36.484261 7546764 14856712 0.028349811 0.91732458 na 14 14 0.000178242 0.000154693 0.196752 1e-10 1e-10 42.0383 36.4843 0.000178242 0.000154693 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.7092 40.5381 3.82191 3.92825 na 0 0 na na na
239610 0.026833766 134.44389 0.0045330017 0.17726505 1.6546009 0.0045330017 0.0045330017 211.50212 -0.0033380697 -1.1635535 0.26717626 0.0075003085 0 1 41.394666 39.669474 10577537 10670242 0.095903364 0.78555659 na 14 14 0.000175513 0.000168199 1.20483 1e-10 1e-10 41.3947 39.6695 0.000175513 0.000168199 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.9941 44.0772 3.69178 3.86566 na 0 0 na na na
263298 0.028008776 138.52258 0.0010683035 -1.2328307 1.1485973 0.0010683035 0.0010683035 211.29951 -0.0033316775 -1.454536 0.029614882 0.0012270505 0 1 41.890283 41.633138 6845924 9813641 0.070545636 0.52173311 na 14 14 0.000177615 0.000176525 0.748844 1e-10 1e-10 41.8903 41.6331 0.000177615 0.000176525 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.5448 46.259 3.68108 3.68982 na 0 0 na na na
296839 0.030343602 128.59497 0.0021674652 1.1362963 1.120024 0.0021674652 0.0021674652 210.92225 -0.0033197913 -1.1646218 0.1220756 0.0024276131 0 1 35.320717 42.216766 6062089 14911689 0.11190999 0.97055037 na 14 14 0.00014976 0.000178999 1.55288 1e-10 1e-10 35.3207 42.2168 0.00014976 0.000178999 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 39.2452 46.9075 3.94973 3.80791 na 0 0 na na na
307831 0.031163361 57.633568 0.050040653 0.26642206 1.5849165 0.050040653 0.050040653 210.79515 -0.0033157915 -1.0034682 0.43160678 0.079310254 0 1 15.658338 19.092335 7207592 10427201 0.035862682 0.81804514 na 14 14 6.63914e-05 8.09515e-05 0.420797 1e-10 1e-10 15.6583 19.0923 6.63914e-05 8.09515e-05 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 1.43432e+11 2e+08 0 0 0 0 0 0 0 0 17.3036 21.2137 4.97725 7.54627 na 0 0 na na na
350151 0.033339971 260.52191 0.001911078 -0.75260046 1.5510068 0.001911078 0.001911078 210.46547 -0.0033054277 -1.2077641 0.31413681 0.002964095 0 1 116.34977 40.734236 9427765 10781703 0.10370773 0.16667694 na 14 14 0.000493323 0.000172713 0.973287 1e-10 1e-10 116.35 40.7342 0.000493323 0.000172713 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.9494 45.2603 3.74777 3.80691 na 0.434247 0 na na na
376009 0.035089399 194.49674 0.006148071 -0.33444236 2.1821652 0.006148071 0.006148071 210.22656 -0.0032979277 -1.1045668 1.389679 0.013416106 0 1 77.93078 39.342763 10510660 13073380 0.082640962 0.59067248 na 14 14 0.000330427 0.000166813 0.801278 1e-10 1e-10 77.9308 39.3428 0.000330427 0.000166813 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.9103 43.7142 3.86219 3.87811 na 0.686414 0 na na na
385871 0.035579878 136.62594 0.010993561 -0.80148001 1.7724611 0.010993561 0.010993561 210.16142 -0.0032958844 -1.0785663 0.89796422 0.01948566 0 1 41.785636 40.594193 5852501 10702435 0.054428732 0.46503019 na 14 14 0.000177171 0.000172119 0.511001 1e-10 1e-10 41.7856 40.5942 0.000177171 0.000172119 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.4285 40.5942 3.76505 3.8753 na 0 0 na na na
394128 0.035895342 117.47251 0.00014643023 -1.77815 0.063886378 0.00014643023 0.00014643023 210.11975 -0.0032945775 -1.4627648 0.14616235 9.3548974e-06 0 1 41.582476 29.24862 2229290 5696380 0.052393885 0.41799711 na 14 14 0.00017631 0.000124014 0.520474 1e-10 1e-10 41.5825 29.2486 0.00017631 0.000124014 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.2028 32.4985 3.80321 4.12959 na 0 0 na na na
398787 0.036325075 190.68874 0.0019276065 -0.48988102 2.237939 0.0019276065 0.0019276065 210.06193 -0.0032927646 -1.054779 1.5729979 0.0043138658 0 1 77.110395 37.867078 11168726 13649663 0.036572534 0.91307341 na 14 14 0.000326948 0.000160556 0.238241 1e-10 1e-10 77.1104 37.8671 0.000326948 0.000160556 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.5943 42.0745 3.78391 3.89837 na 0.686368 0 na na na
418959 0.037321444 192.26237 0.001988394 -0.74436403 1.8412698 0.001988394 0.001988394 209.93789 -0.0032888769 -1.2135135 0.79140641 0.0036611697 0 1 74.269327 41.656984 10719435 11853672 0.082665332 0.86132689 na 14 14 0.000314902 0.000176626 0.806277 1e-10 1e-10 74.2693 41.657 0.000314902 0.000176626 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 74.2693 46.2855 5.72081 3.78817 na 0.685564 0 na na na
431621 0.038068068 134.67326 0.0047515772 -4.0129438 1.9856166 0.0047515772 0.0047515772 209.83913 -0.0032857832 -1.0015649 9.0299602 0.0094348108 0 1 40.376415 40.826026 11170904 12770317 0.021096172 0.55978194 na 14 14 0.000171196 0.000173102 0.124197 1e-10 1e-10 40.3764 40.826 0.000171196 0.000173102 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 44.8627 45.3623 3.83212 3.64921 na 0 0 na na na
440852 0.038569853 137.58643 0.0071210326 0.094436923 2.8296657 0.0071210326 0.0071210326 209.7752 -0.0032837815 -1.0060922 3.0310899 0.020150142 0 1 41.784711 41.174251 2897565 11340960 0.03535984 0.69036845 na 14 14 0.000177167 0.000174579 0.266639 1e-10 1e-10 41.7847 41.1743 0.000177167 0.000174579 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.4275 45.7492 3.66101 3.66333 na 0 0 na na na
444807 0.038993039 137.6271 0.0067332951 -0.62402721 1.3260283 0.0067332951 0.0067332951 209.72094 -0.0032820831 -1.0555182 0.065683003 0.0089285396 0 1 41.221718 41.761765 11672442 13501366 0.13338023 0.91757742 na 14 14 0.00017478 0.00017707 1.95313 1e-10 1e-10 41.2217 41.7618 0.00017478 0.00017707 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.8019 46.402 3.69471 3.81821 na 0 0 na na na
445031 0.039002254 117.02834 0.0058802183 -0.49564854 2.4991445 0.0058802183 0.0058802183 209.71748 -0.0032819748 -1.0798502 2.2188371 0.014695515 0 1 30.457576 40.105706 2292325 10864387 0.027618358 0.43884689 na 14 14 0.00012914 0.000170048 0.199571 1e-10 1e-10 30.4576 40.1057 0.00012914 0.000170048 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 33.8418 44.5619 4.08568 3.69453 na 0 0 na na na
470914 0.040513582 136.53595 0.0049601356 -1.978986 0.27426007 0.0049601356 0.0049601356 209.52787 -0.0032760428 -1.0052853 1.0018926 0.0013603672 0 1 41.298953 41.026615 11270008 11326082 0.072702306 0.92141408 na 14 14 0.000175108 0.000173953 0.789124 1e-10 1e-10 41.299 41.0266 0.000175108 0.000173953 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.8877 45.5851 3.8378 3.84429 na 0 0 na na na
564888 0.046306095 201.99175 0.0027280384 1.5613328 0.98106524 0.0027280384 0.0027280384 208.87513 -0.003255663 -0.99115008 0.71946622 0.0026763836 0 1 42.173629 79.619099 3694907 17734808 0.051075616 0.79210163 na 14 14 0.000178816 0.000337585 0.382032 1e-10 1e-10 42.1736 79.6191 0.000178816 0.000337585 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.8596 79.6191 3.66638 3.74009 na 0 0.686456 na na na
580475 0.047492293 137.96444 0.0030206625 1.2129814 1.5545573 0.0030206625 0.0030206625 208.75297 -0.003251856 -0.97109015 0.97431888 0.004695793 0 1 41.247449 41.939442 7005852 7626351 0.070032341 0.82845021 na 14 14 0.000174889 0.000177823 0.742183 1e-10 1e-10 41.2474 41.9394 0.000174889 0.000177823 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.8305 46.5994 3.83444 3.63479 na 0 0 na na na
585808 0.047763102 136.376 0.00072799771 0.63898203 1.5292985 0.00072799771 0.00072799771 208.72513 -0.0032509885 -1.2452268 0.14832504 0.0011133258 0 1 41.490137 40.738989 9905986 10509896 0.079959786 0.64746485 na 14 14 0.000175918 0.000172733 0.91072 1e-10 1e-10 41.4901 40.739 0.000175918 0.000172733 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.1002 45.2655 3.80519 3.6745 na 0 0 na na na
598939 0.048713525 111.11203 0.0029479615 -0.1259913 1.4637666 0.0029479615 0.0029479615 208.63091 -0.0032480542 -0.92251986 0.15678112 0.0043151277 0 1 26.612017 40.383974 5244420 12205814 0.18430507 0.66125688 na 14 14 0.000112835 0.000171228 3.53079 1e-10 1e-10 26.612 40.384 0.000112835 0.000171228 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 23412.7 0 0 0 0 0 0 0 0 29.5689 40.384 4.23597 -2.19614 na 0 0 na na na
617734 0.049956941 202.68935 0.0053199564 -0.67515745 1.7260235 0.0053199564 0.0053199564 208.50135 -0.0032440215 -0.97678785 0.763136 0.0091823696 0 1 42.406181 79.807167 10647857 10992415 0.048570268 0.56437093 na 14 14 0.000179802 0.000338382 0.353661 1e-10 1e-10 42.4062 79.8072 0.000179802 0.000338382 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 47.118 45.5436 5.12501 3.80564 na 0 0.686187 na na na
716124 0.056831508 140.53114 0.0043486214 0.72414122 1.3546354 0.0043486214 0.0043486214 207.85644 -0.0032239845 -0.96506 0.22562455 0.0058907966 0 1 42.000139 42.734364 11191785 12973591 0.09550362 0.48292698 na 14 14 0.000178081 0.000181194 1.17109 1e-10 1e-10 42.0001 42.7344 0.000178081 0.000181194 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.6668 47.3855 3.80901 791.332 na 0 0 na na na
723196 0.057566985 197.47693 0.0032587107 -0.90176355 1.0134148 0.0032587107 0.0032587107 207.78686 -0.0032218262 -0.89911564 0.023286925 0.0033024256 0 1 38.142324 80.928151 9266382 15084633 0.11159725 0.70191424 na 14 14 0.000161723 0.000343135 1.24787 1e-10 1e-10 38.1423 80.9282 0.000161723 0.000343135 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 42.3804 80.9282 3.88858 3.80699 na 0 0.614438 na na na
745025 0.059199954 136.66995 0.0030390289 1.1843486 0.89993993 0.0030390289 0.0030390289 207.64639 -0.0032174716 -0.98311051 0.13195493 0.0027349434 0 1 40.917318 41.489048 11022185 15640523 0.18007538 0.36628959 na 14 14 0.000173489 0.000175914 3.07462 1e-10 1e-10 40.9173 41.489 0.000173489 0.000175914 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 40.9173 46.0989 484.551 3.73312 na 0 0 na na na
768072 0.060550205 196.15518 0.0016006784 -0.42124322 1.3883708 0.0016006784 0.0016006784 207.53639 -0.0032140638 -1.0365147 0.024971051 0.002222335 0 1 76.440089 41.833424 8499988 9282565 0.11707162 0.68485649 na 14 14 0.000324106 0.000177374 1.34531 1e-10 1e-10 76.4401 41.8334 0.000324106 0.000177374 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 42.0696 46.4816 3.89523 3.82473 na 0.684687 0 na na na
795916 0.062607339 227.43149 0.0084015821 -0.43899893 1.2715059 0.0084015821 0.0084015821 207.3681 -0.0032088533 -0.89377373 0.032081495 0.010682661 0 1 65.662115 71.469727 7020296 11464137 0.17230848 0.8917009 na 14 14 0.000278407 0.000303032 2.2309 1e-10 1e-10 65.6621 71.4697 0.000278407 0.000303032 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.368 45.5318 3.77206 3.65866 na 0.661084 0.681803 na na na
806839 0.063459082 126.66669 0.004830498 0.65200805 1.4729545 0.004830498 0.004830498 207.29571 -0.0032066134 -0.93162983 0.39245663 0.0071151038 0 1 40.817005 35.557805 12183664 12606029 0.073029156 0.54256043 na 14 14 0.000173064 0.000150765 0.824821 1e-10 1e-10 40.817 35.5578 0.000173064 0.000150765 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 45.3522 39.5087 3.81055 3.94487 na 0 0 na na na
828903 0.064862625 136.05834 0.0013975741 0.60667743 1.4022857 0.0013975741 0.0013975741 207.18895 -0.0032033112 -1.0567176 0.13516475 0.0019597981 0 1 41.491722 40.545865 10875794 13068854 0.17681453 0.95575019 na 14 14 0.000175925 0.000171914 2.9982 1e-10 1e-10 41.4917 40.5459 0.000175925 0.000171914 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 46.1019 45.051 3.63941 3.81657 na 0 0 na na na
873509 0.06791103 190.12269 0.0060181116 0.32312902 2.9456813 0.0060181116 0.0060181116 206.95367 -0.0031960401 -0.92863938 3.4976904 0.017727439 0 1 40.427589 74.20858 10795988 11483543 0.037394882 0.32963195 na 14 14 0.000171413 0.000314644 0.246688 1e-10 1e-10 40.4276 74.2086 0.000171413 0.000314644 1e-10 1e-10 1e-10 1e-10 1e+10 1e+10 -0 0 0.0001 1e-20 2e+08 2e+08 0 0 0 0 0 0 0 0 40.4276 45.6309 129.412 3.68213 na 0 0.684884 na na na
